id;question;answer
1;Как подать документы в 2024 году?;"В текущем году Вы можете подать документы следующими способами:

- через личный кабинет поступающего, доступный по ссылке https://enter.guap.ru

- через Суперсервис ""Поступление в ВУЗ онлайн ""посредством федеральной государственной информационной системы «Единый портал государственных и муниципальных услуг (функций)». Сервис доступен по ссылке https://www.gosuslugi.ru/vuzonline

- через операторов почтовой связи

- принести документы лично в Приемную комиссию ГУАП по адресу: Санкт-Петербург, Якубовича, д. 26"
2;Какие документы необходимо предоставить в Приемную комиссию университета?;"– заявление о приеме на обучение и согласие на обработку персональных данных (эти документы можно будет найти в личном кабинете поступающего)

– документ, удостоверяющий личность, гражданство (паспорт) (копия: 1 страница и страница регистрации)

– ксерокопия и (или) оригинал документа об образовании

– номер документа, подтверждающего регистрацию в системе индивидуального (персонифицированного) учета – СНИЛС (при наличии)

– документы, подтверждающие индивидуальные достижения (при наличии)

– документы, подтверждающие право на льготы (при наличии)

– фото (для лиц, поступающих по результатам вступительных испытаний, проводимых Университетом самостоятельно)"
3;Нужно ли подавать какие-либо дополнительные документы для зачисления на выбранное направление?;"Для зачисления на бюджетные места поступающему необходимо предоставить в Приемную комиссию ГУАП оригинал документа об образовании.

Для зачисления на места по договорам требуется оформить и подписать договор об оказании платных образовательных услуг."
4;Требуется ли справка 086-У при подаче документов?;При подаче документов в Приемную комиссию медицинские справки не требуются. Копия справки 086-у и полиса ОМС, а также сертификат о прививках могут потребоваться студенту, уже зачисленному на первый курс. На поступление наличие медицинских документов не влияет.
5;Нужен ли медосмотр?;"Прохождение обязательного предварительного медицинского осмотра необходимо при поступлении на направления:

11.05.01 Радиоэлектронные системы и комплексы
13.03.02, 13.04.02 Электроэнергетика и электротехника
13.05.02 Специальные электромеханические системы
14.03.01 Ядерная энергетика и теплофизика
23.03.01, 23.04.01 Технология транспортных процессов
Направление на обследование поступающий получает после подачи зачисления."
6;Как проходит конкурс?;"В основном конкурс проходит по направлениям подготовки или специальностям, однако, в 2024 году также будет вестись конкурс по отдельным образовательным программам в рамках направлений подготовки 09.03.01 «Информатика и вычислительная техника» и 09.03.03 «Прикладная информатика». Обратите внимание, для разных образовательных программ данных направлений подготовки выделено разное количество мест и установлены разные минимальные баллы для поступления.

Для остальных направлений и специальностей подобного разделения нет, а выбор образовательной программы внутри конкретного направления подготовки будет осуществляться уже после зачисления."
7;Особенности приема на бакалавриат/специалитет в 2024 году;В 2024 году поступающие подают два разных заявления о приеме на бюджет и на контракт. В каждом из них указываются приоритеты выбранных направлений подготовки. В ходе конкурса для каждого поступающего автоматически будет определяться приоритет, в соответствии с которым и будет происходить зачисление. При поступлении на бюджет подавать согласие на зачисление больше не требуется, однако для зачисления обязательно нужно предоставить оригинал документа об образовании. Для зачисления на контракт нужно оформить договор об обучении.
8;У меня в паспорте отсутствует отчество, как правильно заполнять эту графу в анкете и заявлении?;"ФИО (или отсутствие Отчества) в документах, представляемых в приемную комиссию - аттестат, диплом и другие, - должны полностью соответствовать документу, удостоверяющему личность, т.е. ПАСПОРТУ.

Проверьте, чтобы во всех сопровождающих документах также отчество НЕ было вписано - должно быть ПОЛНОЕ совпадение с паспортными данными."
9;Имеет ли значение дата подачи документов при равных баллах ЕГЭ?;Нет, дата подачи значения не имеет. Главное - придерживаться сроков подачи документов и обращать внимание на минимальные значения результатов ЕГЭ, установленных в ГУАП.
10;Есть ли в ГУАП заочная и вечерняя форма обучения (бакалавриат/специалитет)?;Информация о количестве мест для приема на места в рамках контрольных цифр будет размещена не позднее 20 января 2024 года. С перечнем направлений подготовки и специальностей, на которые будет вестись прием, можно ознакомиться по ссылке. https://priem.guap.ru/bach/plan
11;Какие минимальные баллы ЕГЭ для поступления на контракт (платное обучение)?;"Минимальные баллы результатов ЕГЭ одинаковы и для поступающих на места, финансируемые за счет бюджетных ассигнований федерального бюджета, и для поступающих на места по договорам об образовании за счет средств физических и (или) юридических лиц (за исключением направлений подготовки 09.03.01, 09.03.02, 09.03.03 и 09.03.04 очной формы обучения).

Минимальные баллы по каждому отдельному направлению представлены на сайте. https://priem.guap.ru/bach/exams_list"
12;Где и когда можно узнать проходные баллы в текущем году?;"Проходной балл определяется только по завершении срока подачи документов и конкурсной ситуации текущего года. Вам необходимо самостоятельно отслеживать конкурсную ситуацию на сайте и оценивать свои шансы

Информацию о минимальных проходных баллах приема на обучение в ГУАП по образовательным программам бакалавриата и специалитета прошлых лет можно найти по ссылке . Обращаем ваше внимание, что по ссылке представлены баллы прошлых лет: в 2024 году проходной балл может как увеличиться, так и уменьшится!
https://priem.guap.ru/bach/archive"
13;Есть ли в университете военная кафедра?;Да, в университете есть военный учебный центр. Узнать подробнее об этом вы можете по ссылке https://new.guap.ru/vuc
14;В процессе зачисления или сразу после него нужно ли сниматься с учета в военкомате по месту регистрации?;"Нет.

После зачисления в сентябре, каждому студенту мужского пола необходимо обратиться в военно-учетный отдел ГУАП, который поставит студента на учет и выдаст (или направит) необходимые документы в военный комиссариат по месту регистрации"
